Risk Rating,Country Code,Institution,Kind,Security credentials,End-user lists,Espionage or misconduct
MEDIUM,CN,DONGGUAN YUZE MACHINING TOOLS COMPANY LIMITED,,,,
MEDIUM,CN,"Aerospace CH UAV Co., Ltd.",,,,
MEDIUM,CN,ANALOG TECHNOLOGY LIMITED,,,,
MEDIUM,CN,GUANGDONG PRATIC CNC TECHNOLOGY CO LTD,,,,
MEDIUM,CN,"ANHUI GREATWALL MILITARY INDUSTRY CO., LTD.",,,,
MEDIUM,CN,"ZHEJIANG QINGJI IND. CO., LTD.",,,,
MEDIUM,CN,SILIBORN TECHNOLOGY LIMITED,,,,
MEDIUM,CN,"JIANGXI LIANSHENG TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,"PENGLAI JUTAL OFFSHORE ENGINEERING HEAVY INDUSTRIES CO., LTD.",,,,
MEDIUM,CN,CHINA AVIONICS SYSTEMS COMPANY LIMITED,,,,
MEDIUM,CN,"YOULI TECHNOLOGY DEVELOPMENT CO., LTD.",,,,
MEDIUM,CN,ACE ERA CO LIMITED,,,,
MEDIUM,CN,"YASON GENERAL MACHINERY CO., LTD.",,,,
MEDIUM,CN,"DALIAN SUN MOON STAR INTERNATIONAL LOGISTICS TRADING CO., LTD.",,,,
MEDIUM,CN,KVANTEK LIMITED,,,,
MEDIUM,CN,"HANGZHOU FUYANG KOTO MACHINERY CO., LTD",,,,
MEDIUM,CN,AVIC Heavy Machinery Company Limited,,,,
MEDIUM,CN,"JUHANG AVIATION TECHNOLOGY SHENZHEN CO., LTD.",,,,
MEDIUM,CN,"SINNO ELECTRONICS CO., LIMITED",,,,
MEDIUM,CN,"REACH HOLDING GROUP SHANGHAI CO., LTD.",,,,
MEDIUM,CN,GUANGZHOU CHIPHOME INFORMATION TECHNOLOGY LIMITED,,,,
MEDIUM,CN,"SINO MACHINERY CO., LTD.",,,,
MEDIUM,CN,"ZHEJIANG OULONG ELECTRIC CO., LTD.",,,,
MEDIUM,CN,"S&C TRADE PTY CO., LTD",,,,
MEDIUM,CN,"SUNWAY TECH CO., LTD.",,,,
MEDIUM,CN,"China Mobile Communications Group Co., Ltd.",,,,
MEDIUM,CN,CHANG AN SHIPPING & TECHNOLOGY,,,,
MEDIUM,CN,Hytera Communications Corporation,,,,
MEDIUM,CN,HONGKONG HIMARK ELECTRON MODEL LIMITED,,,,
MEDIUM,CN,HONG KONG YAYANG TRADING LIMITED,,,,
MEDIUM,CN,"NEW IDEA GUANGZHOU TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,"NANJING PANDA ELECTRONICS CO., LTD.",,,,
MEDIUM,CN,"WUHAN XIAORUIZHI SCIENCE AND TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,"WUHAN TONGSHENG TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,"BOCHUANG CERAMIC, INC.",,,,
MEDIUM,CN,"HANHONG PHARMACEUTICAL TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,"BEIJING LUCHENG WEIYE TECHNOLOGY DEVELOPMENT CO., LTD.",,,,
MEDIUM,CN,"UNITED ELECTRONICS GROUP CO., LTD.",,,,
MEDIUM,CN,HONGYUAN MARINE CO LTD,,,,
MEDIUM,CN,ASIA PACIFIC LINKS LTD.,,,,
MEDIUM,CN,XINJIANG PUBLIC SECURITY BUREAU,,,,
MEDIUM,CN,"NINGBO BEILUN SAIGE MACHINE CO., LTD.",,,,
MEDIUM,CN,"JINHUA HAIRUN POWER TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,"SHANGHAI OCEANEN ENVIRONMENTAL SCIENCE AND TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,HK HENGBANGWEI ELECTRONICS LIMITED,,,,
MEDIUM,CN,"TAS TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,"HEBEI CROVELL BIOTECH CO., LTD.",,,,
MEDIUM,CN,SYRISS,,,,
MEDIUM,CN,"SHENZHEN YOUXIN TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,ROBOTRONIX SEMICONDUCTORS LIMITED,,,,
MEDIUM,CN,QIDONG HENGCHENG ELECTRONICS FACTORY,,,,
MEDIUM,CN,"SHENZHEN 5G HIGH-TECH INNOVATION CO., LTD.",,,,
MEDIUM,CN,"CHONGQING FAGIMA ELECTROMECHANICAL EQUIPMENT CO., LTD.",,,,
MEDIUM,CN,"HAOKUN ENERGY GROUP CO., LTD.",,,,
MEDIUM,CN,"ANYANG FORGING PRESS NUMERICAL CONTROL EQUIPMENT CO., LTD.",,,,
MEDIUM,CN,"GUILIN ALPHA RUBBER & PLASTICS TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,"DANDONG ZHICHENG METALLIC MATERIAL CO., LTD.",,,,
MEDIUM,CN,C&I SEMICONDUCTORS CO LIMITED,,,,
MEDIUM,CN,SHANGHAI NORTH BEGINS INTERNATIONAL,,,,
MEDIUM,CN,"T-RUBBER CO., LTD.",,,,
MEDIUM,CN,SUCCESS MOVE LTD.,,,,
MEDIUM,CN,China Communications Construction Company Limited,,,,
MEDIUM,CN,"HENGSHUI HESHUO CELLULOSE CO., LTD.",,,,
MEDIUM,CN,"IMAXCHIP TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,EKT SMART TECHNOLOGY,,,,
MEDIUM,CN,DULING TECHNOLOGY HK LIMITED,,,,
MEDIUM,CN,STAR OCEAN SHIPMANAGE LTD,,,,
MEDIUM,CN,"CSSC OFFSHORE & MARINE ENGINEERING (GROUP) CO., LTD.",,,,
MEDIUM,CN,"ZHONGCHENG HEAVY EQUIPMENT DEFENSE TECHNOLOGY SHANDONG GROUP CO., LTD.",,,,
MEDIUM,CN,"BEIJING SHINY NIGHTS TECHNOLOGY DEVELOPMENT CO., LTD.",,,,
MEDIUM,CN,"ADVANTAGE TRADING CO., LIMITED",,,,
MEDIUM,CN,"DONGGUAN SHENGYIN CNC EQUIPMENT CO., LTD.",,,,
MEDIUM,CN,"HK CINTY CO., LTD.",,,,
MEDIUM,CN,XINJIANG PRODUCTION AND CONSTRUCTION CORPS,,,,
MEDIUM,CN,"Fujian Torch Electron Technology Co., Ltd.",,,,
MEDIUM,CN,"AEROSPACE COMMUNICATIONS HOLDINGS GROUP CO., LTD.",,,,
MEDIUM,CN,"COREBAI MICROELECTRONICS BEIJING CO., LTD.",,,,
MEDIUM,CN,LETT TRONIC GROUP LIMITED,,,,
MEDIUM,CN,RG SOLUTIONS LIMITED,,,,
MEDIUM,CN,"ZHONGGU STORAGE AND TRANSPORTATION CO., LTD.",,,,
MEDIUM,CN,DALIAN ZHENGHUA MAOYI YOUXIAN GONGSI,,,,
MEDIUM,CN,China Unicom (Hong Kong) Limited,,,,
MEDIUM,CN,"SHANDONG SEA RIGHT PETROCHEMICAL CO., LTD.",,,,
MEDIUM,CN,Aerosun Corporation,,,,
MEDIUM,CN,XI'AN LONGDE TECHNOLOGY DEVELOPMENT COMPANY LIMITED,,,,
MEDIUM,CN,"CHENGDU KEYLINK WIRELESS TECHNOLOGY CO., LTD",,,,
MEDIUM,CN,"SHENZHEN CASPRO TECHNOLOGY CO., LTD",,,,
MEDIUM,CN,"SUZHOU A-ONE SPECIAL ALLOY CO., LTD.",,,,
MEDIUM,CN,"QINGDAO CEMO TECHNOLOGY DEVELOP CO., LTD.",,,,
MEDIUM,CN,"GUANGZHOU AUSAY TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,BEIJING TIMINGTRON CORPORATION,,,,
MEDIUM,CN,POLY TECHNOLOGIES INCORPORATED,,,,
MEDIUM,CN,JINMINGSHENG TECHNOLOGY HK CO LIMITED,,,,
MEDIUM,CN,STARS INTERNATIONAL LTD,,,,
MEDIUM,CN,"FUJIE PETROCHEMICAL ZHOUSHAN CO., LTD.",,,,
MEDIUM,CN,"BEIJING SANSHUNDA ELECTRONICS SCIENCE AND TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,"DANDONG DONGYUAN INDUSTRIAL CO., LTD.",,,,
MEDIUM,CN,China Marine Information Electronics Company Limited,,,,
MEDIUM,CN,"SANMING SINO-EURO IMPORT AND EXPORT CO., LTD",,,,
MEDIUM,CN,GTLK ASIA LIMITED,,,,
MEDIUM,CN,GRUN GROUP CO LIMITED,,,,
MEDIUM,CN,TORDAN INDUSTRY LIMITED,,,,
MEDIUM,CN,AVIC Aviation High-Technology Company Limited,,,,
MEDIUM,CN,"JINHU MINSHENG PHARMACEUTICAL MACHINERY CO., LTD.",,,,
MEDIUM,CN,"SHVABE OPTO-ELECTRONICS CO., LTD.",,,,
MEDIUM,CN,"PANDA ELECTRONICS GROUP CO., LTD.",,,,
MEDIUM,CN,MILE HAO XIANG TECHNOLOGY CO LTD,,,,
MEDIUM,CN,"KAIFENG PINGMEI NEW CARBON MATERIALS TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,SUPERCHIP LIMITED,,,,
MEDIUM,CN,"XINGTAI DONG CHUANG NEW MATERIAL TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,SEIBOW LOGISTICS LIMITED,,,,
MEDIUM,CN,"TIANJIN MICRONANOELECTRONIC MANUFACTURING TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,"ROFS MICROSYSTEM (TIANJIN) CO., LTD.",,,,
MEDIUM,CN,EQUIPMENT DEVELOPMENT DEPARTMENT,,,,
MEDIUM,CN,"ZHUHAI ZHENRONG CO., LTD.",,,,
MEDIUM,CN,FINDER TECHNOLOGY LTD,,,,
MEDIUM,CN,"WUHAN TIANYU INFORMATION INDUSTRY CO., LTD.",,,,
MEDIUM,CN,"China Communications Construction Co., Ltd.",,,,
MEDIUM,CN,DJI,,,,
MEDIUM,CN,"Academy of Military Medical Sciences, Institute of Radiation and Radiation Medicine",,,,
MEDIUM,CN,"Beijing China Aviation Technology Co., Ltd.",,,,
MEDIUM,CN,"TYT Electronics Co., Ltd.",,,,
MEDIUM,CN,"Glite Electronic Technology Co., Ltd.",,,,
MEDIUM,CN,"Baimtec Material Co., Ltd.",,,,
MEDIUM,CN,"Hetian Haolin Hair Accessories Co., Ltd.",,,,
MEDIUM,CN,Chitron Electronics Company Ltd,,,,
MEDIUM,CN,"AVIC Aircraft Co., Ltd.",,,,
MEDIUM,CN,8th Academy,CASC,,,
MEDIUM,CN,"Beijing Sensetime Technology Development Co., Ltd.",,,,
MEDIUM,CN,"Chengdu Jingxin Technology Co., Ltd.",,,,
MEDIUM,CN,"Nanjing Synergy Textiles Co., Ltd.",,,,
MEDIUM,CN,"Hefei Meiling Co., Ltd.",,,,
MEDIUM,CN,"Shenzhen Cobber Information Technology Co., Ltd.",,,,
MEDIUM,CN,Aksu Huafu Textiles Co.,,,,
MEDIUM,CN,"Liaoyang Carbon Co., Ltd.",,,,
MEDIUM,CN,AECC South Industry Company Limited,,,,
MEDIUM,CN,Semiconductor Manufacturing South China Corporation,,,,
MEDIUM,CN,Skyeye Laser Technology Limited,,,,
MEDIUM,CN,"Beijing Geling Shentong Information Technology Co., Ltd.",,,,
MEDIUM,CN,"Leon Technology Co., Ltd.",,,,
MEDIUM,CN,Shanghai Institute of Microsystem and Information Technology,CAS,,,
MEDIUM,CN,"Kingford PCB Electronics Co., Ltd.",,,,
MEDIUM,CN,"Hetian Taida Apparel Co., Ltd.",,,,
MEDIUM,CN,Beijing Tianhua,,,,
MEDIUM,CN,"Taizhou CBM-Future New Material Science and Technology Co., Ltd.",,,,
MEDIUM,CN,"Academy of Military Medical Sciences, Institute of Basic Medicine",,,,
MEDIUM,CN,SZ Energy Technology Co.,,,,
MEDIUM,CN,"Academy of Military Medical Sciences, Institute of Bioengineering",,,,
MEDIUM,CN,"Shanghai Breeze Technology Co., Ltd.",,,,
MEDIUM,CN,"Academy of Military Medical Sciences, Institute of Hygiene and Environmental Medicine",,,,
MEDIUM,CN,KTK Group,,,,
MEDIUM,CN,"Chengdu Zongheng Automation Technology Co., Ltd.",,,,
MEDIUM,CN,"BEIJING LUO LUO TECHNOLOGY DEVELOPMENT CO., LTD.",,,,
MEDIUM,CN,National Supercomputing Center Shenzhen,,,,
MEDIUM,CN,"Chengdu GaStone Technology Co., Ltd.",,,,
MEDIUM,CN,Chengdu Fine Optical Engineering Research Center,,,,
MEDIUM,CN,9th Academy 771 Research Institute,CASC,,,
MEDIUM,CN,Beijing University of Aeronautics and Astronautics,,,,
MEDIUM,CN,Megvii Technology,,,,
MEDIUM,CN,"Shanghai IP3 Information Technology Co., Ltd.",,,,
MEDIUM,CN,"Guangdong Munpower Electronic Commerce Co., Ltd.",,,,
MEDIUM,CN,NetPosa,,,,
MEDIUM,CN,"Academy of Military Medical Sciences, Field Blood Transfusion Institution",,,,
MEDIUM,CN,"Shenzhen Iprogift Technology Co., Ltd.",,,,
MEDIUM,CN,Baotou Guanghua Chemical Industrial Corporation,CNNC,,,
MEDIUM,CN,"Huayuanshitong Technology Co., Ltd.",,,,
MEDIUM,CN,China Aerospace Science and Industry Corporation Second Academy,CASIC-2A,,,
MEDIUM,CN,203rd Research Institute,CASIC-2A,,,
MEDIUM,CN,China General Nuclear Power Corporation,State-owned enterprise,,,
MEDIUM,CN,Anhui Bowei Guangcheng Information Technology,,,,
MEDIUM,CN,"Tanyuan Technology Co., Ltd.",,,,
MEDIUM,CN,SMIC Holdings Limited,,,,
MEDIUM,CN,Institute of Computing Technology,CAS,,,
MEDIUM,CN,Semiconductor Manufacturing International (Shenzhen) Corporation,,,,
MEDIUM,CN,AOOK Technology Limited,,,,
MEDIUM,CN,AECC South Industry Co. Ltd,,,,
MEDIUM,CN,"Academy of Military Medical Sciences, Institute of Health Service and Medical Information",,,,
MEDIUM,CN,"Xinjiang Daqo New Energy Co., Ltd.",,,,
MEDIUM,CN,"Nuopuxun Electronic Technology Co., Ltd.",,,,
MEDIUM,CN,Beijing Aeronautical Manufacturing Technology Research Institute,,,,
MEDIUM,CN,54th Research Institute of China,,,,
MEDIUM,CN,"WYSH DATA SYSTEMS, LTD.",,,,
MEDIUM,CN,"Beijing Skyrizon Aviation Industry Investment Co., Ltd.",,,,
MEDIUM,CN,"E-Chips Solution Co., Ltd.",,,,
MEDIUM,CN,"Guangzhou Tian-Hai-Xiang Aviation Technology Co., Ltd.",,,,
MEDIUM,CN,Semiconductor Manufacturing International (Beijing) Corporation,,,,
MEDIUM,CN,Academy of Aerospace Solid Propulsion Technology,,,,
MEDIUM,CN,"Fushun Jinly Petrochemical Carbon Co., Ltd.",,,,
MEDIUM,CN,Xinjiang Production and Construction Corps Public Security Bureau,,,,
MEDIUM,CN,9th Academy 772 Research Institute,CASC,,,
MEDIUM,CN,China Shipbuilding Group 722nd Research Institute,,,,
MEDIUM,CN,"Sichuan Haitian New Technology Group Co., Ltd.",,,,
MEDIUM,CN,Hefei National Laboratory for Physical Sciences at Microscale,,,,
MEDIUM,CN,Chengdu Latest Electronics Technology Company,,,,
MEDIUM,CN,"Academy of Military Medical Sciences, Military Veterinary Research Institute",,,,
MEDIUM,CN,"Academy of Military Medical Sciences, Institute of Toxicology and Pharmacology",,,,
MEDIUM,CN,"Yangtze Memory Technologies Co., Ltd.",,,,
MEDIUM,CN,Poly Technologies Inc.,,,,
MEDIUM,CN,"Xiamen Meiya Pico Information Co., Ltd.",,,,
MEDIUM,CN,Seajet Company Limited,,,,
MEDIUM,CN,"SHUTTLE LONG CO., LTD.",,,,
MEDIUM,CN,China Aerospace Science and Industry Corporation (CASIC) 3rd Academy,,,,
MEDIUM,CN,35th Research Institute,CASIC-3A,,,
MEDIUM,CN,Shanghai Institute of Applied Physics,CAS,,,
MEDIUM,CN,"Zhejiang Foso Electronics Technology Co., Ltd.",,,,
MEDIUM,CN,Oriental Logistics Group LTD,,,,
MEDIUM,CN,"Xinjiang GCL New Energy Material Technology Co., Ltd.",,,,
MEDIUM,CN,China Jiuyuan Trading Corporation,,,,
MEDIUM,CN,Xi'an Research Institute of Navigation Technology,,,,
MEDIUM,CN,"Changji Esquel Textile Co., Ltd.",,,,
MEDIUM,CN,33rd Research Institute,CASIC-3A,,,
MEDIUM,CN,Shaanxi Yingsaeir Electronic Technology Co. Ltd.,,,,
MEDIUM,CN,"Academy of Military Medical Sciences, Institute of Disease Control and Prevention",,,,
MEDIUM,CN,China Aerospace Science and Technology Corporation (CASC) 8th Academy,,,,
MEDIUM,CN,811 Research Institute,CASC-8A,,,
MEDIUM,CN,"Academy of Military Medical Sciences, Institute of Microbiology and Epidemiology",,,,
MEDIUM,CN,"SMIC Northern Integrated Circuit Manufacturing (Beijing) Co., Ltd.",,,,
MEDIUM,CN,"Sichuan Dingcheng Material Trade Co., Ltd.",,,,
MEDIUM,CN,"Sichuan Zhonghe Import and Export Trade Co., Ltd.",,,,
MEDIUM,CN,Semiconductor Manufacturing International (Tianjin) Corporation,,,,
MEDIUM,CN,23rd Research Institute,CASIC-2A,,,
MEDIUM,CN,Northwest Institute of Nuclear Technology in the Science Research,,,,
MEDIUM,CN,"Xinjiang East Hope Nonferrous Metals Co., Ltd.",,,,
MEDIUM,CN,"Hoshine Silicon Industry (Shanshan) Co., Ltd.",,,,
MEDIUM,CN,AECC Beijing Institute of Aeronautical Materials,,,,
MEDIUM,CN,"Beijing Jincheng Huanyu Electronics Co., Ltd.",,,,
MEDIUM,CN,"Hefei Bitland Information Technology Co., Ltd.",,,,
MEDIUM,CN,31st Research Institute,CASIC-3A,,,
MEDIUM,CN,CHANGZHOU UTEK COMPOSITE COMPANY LTD,,,,
MEDIUM,CN,China Aerospace Science and Technology Corporation (CASC) 1st Academy,,,,
MEDIUM,CN,702 Research Institute,CASIC-1A,,,
MEDIUM,CN,"Xinghe Xingyong Carbon Co., Ltd.",,,,
MEDIUM,CN,Peac Institute of Multiscale Science,,,,
MEDIUM,CN,"System Equipment Co., Ltd. of the 28th Research Institute (Liyang)",,,,
MEDIUM,CN,Xinjiang Police College,,,,
MEDIUM,CN,"Academy of Military Medical Sciences, Institute of Medical Equipment",,,,
MEDIUM,CN,Poly Asia Pacific Ltd.,,,,
MEDIUM,CN,"Shenzhen Shunjinxin Import & Export Co., Ltd.",,,,
MEDIUM,CN,Key Laboratory of Information Systems Engineering,,,,
MEDIUM,CN,Southwest Research Institute of Electronics Technology,,,,
MEDIUM,CN,Dalian Ligong Safety Equipment Company Limited,,,,
MEDIUM,CN,Boqur International Ltd.,,,,
MEDIUM,CN,"Lihang Technology Co., Ltd.",,,,
MEDIUM,CN,"CSIC Pride (Nanjing) Cryogenic Technology Co., Ltd.",,,,
MEDIUM,CN,Hong Kong Energy Technology Co.,,,,
MEDIUM,CN,Envoltek,CETC 13,,,
MEDIUM,CN,"Huawei Training (Dongguan) Co., Ltd.",,,,
MEDIUM,CN,"YXS Technology Co., Ltd.",,,,
MEDIUM,CN,AVIC Research Institute for Special Structures of Aeronautical Composites,,,,
MEDIUM,CN,"Cambricon (Kunshan) Information Technology Co., Ltd.",,,,
MEDIUM,CN,"Chengdu Huawei Technologies Co., Ltd.",,,,
MEDIUM,CN,China Electronics Technology Group Corporation 43rd Research Institute,,,,
MEDIUM,CN,"Beijing Anwise Technology Co., Ltd.",,,,
MEDIUM,CN,"Cambricon (Nanjing) Information Technology Co., Ltd.",,,,
MEDIUM,CN,"4Paradigm Technology Co., Ltd.",,,,
MEDIUM,CN,China Communications Construction Company Guangzhou Waterway Bureau,,,,
MEDIUM,CN,"Suzhou Centec Communications Co., Ltd.",,,,
MEDIUM,CN,"Suzhou Telecom Electric Plant Co., Ltd.",,,,
MEDIUM,CN,25th Research Institute,CASIC-2A,,,
MEDIUM,CN,"Shanghai Cable Offshore Engineering Co., Ltd.",,,,
MEDIUM,CN,China Aviation Ind. Std. Parts,,,,
MEDIUM,CN,Avtex Semiconductor Limited,,,,
MEDIUM,CN,Hongbo Industrial Technology,,,,
MEDIUM,CN,"AECC Harbin Dongan Engine Co., Ltd.",,,,
MEDIUM,CN,Anhui Yingliu Hangyuan Power,,,,
MEDIUM,CN,"Harbin General Aircraft Industry Co., Ltd.",,,,
MEDIUM,CN,"Chengdu Spaceon Technology Co., Ltd.",,,,
MEDIUM,CN,Sunway Microelectronics,,,,
MEDIUM,CN,"Guangzhou Guangyou Communications Equipment Co., Ltd.",,,,
MEDIUM,CN,"HMN International Co., Ltd.",,,,
MEDIUM,CN,"Beijing BDStar Navigation Co., Ltd.",,,,
MEDIUM,CN,283 Factory,CASIC-2A,,,
MEDIUM,CN,"Shenzhen Daotong Intelligent Aviation Technology Co., Ltd.",,,,
MEDIUM,CN,BGI Research,,,,
MEDIUM,CN,Hebei Far East Communication System Engineering,,,,
MEDIUM,CN,"Shanghai Aerospace Science and Technology Development Co., Ltd.",,,,
MEDIUM,CN,"Wuxi Hyatech Co., Ltd.",,,,
MEDIUM,CN,"Baoding Shimaotong Enterprises Services Co., Ltd.",,,,
MEDIUM,CN,"Haofeng Industrial Co., Ltd.",,,,
MEDIUM,CN,Chongqing Optel Telecom,,,,
MEDIUM,CN,"Chang Zhou Jin Tan Teng Yuan Machinery Parts Co., Ltd.",,,,
MEDIUM,CN,China Xinshidai Company,,,,
MEDIUM,CN,"Guilin Changhai Development Co., Ltd.",,,,
MEDIUM,CN,North China Integrated Circuit Corporation,CETC 13,,,
MEDIUM,CN,Solar Way (Hong Kong) Ltd.,,,,
MEDIUM,CN,"PNC Systems (Jiangsu) Co., Ltd.",,,,
MEDIUM,CN,"Suzhou Xinyan Holdings Co., Ltd.",,,,
MEDIUM,CN,"China Communications Construction Company Dredging Group Co., Ltd.",,,,
MEDIUM,CN,Hami Municipality Public Security Bureau,,,,
MEDIUM,CN,HSJ Electronics,,,,
MEDIUM,CN,Shenzhen Winthought Tech,,,,
MEDIUM,CN,Jadeshine,,,,
MEDIUM,CN,Lightstar Technology Ltd.,,,,
MEDIUM,CN,Xi'an Aerospace Huaxun Technology,,,,
MEDIUM,CN,"Wuhan Mailite Communication Co., Ltd.",,,,
MEDIUM,CN,"Shenzhen Bailiansheng Electronic Science and Technology Co., Ltd.",,,,
MEDIUM,CN,"Shenzhen Dongpengshang Electronics Co., Ltd.",,,,
MEDIUM,CN,Galaxy Electronics,,,,
MEDIUM,CN,"Cambricon (Hong Kong) Co., Ltd.",,,,
MEDIUM,CN,"Aviation International Corporation of China International Simulation Technology Service Co., Ltd.",,,,
MEDIUM,CN,AECC China Gas Turbine Establishment,,,,
MEDIUM,CN,"GRG Metrology & Test (Chongqing) Co., Ltd.",,,,
MEDIUM,CN,Chengdu Haiguang Integrated Circuit,,,,
MEDIUM,CN,Tianjin Phytium Information Technology,,,,
MEDIUM,CN,China Volant Industry,,,,
MEDIUM,CN,"Xian Aero-Engine Controls Co., Ltd.",,,,
MEDIUM,CN,718th Research Institute,CSSC,,,
MEDIUM,CN,Shanghai Aerospace Equipment Manufacturing,,,,
MEDIUM,CN,"Beijing Sinonet Science & Technology Co., Ltd.",,,,
MEDIUM,CN,"AECC Commercial Aircraft Engine Co., Ltd.",,,,
MEDIUM,CN,Aksu District Public Security Bureau,,,,
MEDIUM,CN,"Xi'an Aerotek Co., Ltd.",,,,
MEDIUM,CN,"Dongguan Lvyuan Industry Investment Co., Ltd.",,,,
MEDIUM,CN,Xinjiang Silk Road BGI,,,,
MEDIUM,CN,"Shenzhen Smartcom Business Co., Ltd.",,,,
MEDIUM,CN,Armyfly,,,,
MEDIUM,CN,710th Research Institute,CSSC,,,
MEDIUM,CN,"Shanghai Aisinochip Electronics Technology Co., Ltd.",,,,
MEDIUM,CN,AVIC International Holding Corporation,,,,
MEDIUM,CN,Ehang International Trade Limited,,,,
MEDIUM,CN,National Supercomputing Center Wuxi,,,,
MEDIUM,CN,Huawei Cloud Beijing,,,,
MEDIUM,CN,"Moore Thread Intelligent Technology (Shanghai) Co., Ltd.",,,,
MEDIUM,CN,"Beijing Ruidakang Technology Co., Ltd.",,,,
MEDIUM,CN,"3HC Semiconductors (HK) Co., Ltd.",,,,
MEDIUM,CN,Kindroid,,,,
MEDIUM,CN,Sinobright Import and Export Company,,,,
MEDIUM,CN,ZhongJie Electronics,,,,
MEDIUM,CN,Asia International Trading Company,,,,
MEDIUM,CN,Brilliance Technology Ltd,,,,
MEDIUM,CN,208th Research Institute,CASIC-2A,,,
MEDIUM,CN,701st Research Institute,CSSC,,,
MEDIUM,CN,"Suzhou Cambricon Information Technology Co., Ltd.",,,,
MEDIUM,CN,"Yishang Network (Shenzhen) Co., Ltd.",,,,
MEDIUM,CN,"Boson Technology Co., Ltd.",,,,
MEDIUM,CN,"Harbin Chuangyue Technology Co., Ltd.",,,,
MEDIUM,CN,China Electronics Technology Group Corporation 55th Research Institute,,,,
MEDIUM,CN,National Supercomputing Center Changsha,,,,
MEDIUM,CN,"CETC Cloud (Beijing) Technology Co., Ltd.",,,,
MEDIUM,CN,Higon,,,,
MEDIUM,CN,China National Scientific Instruments and Materials,,,,
MEDIUM,CN,"China Electronics Technology Group Corporation, 30th Research Institute",,,,
MEDIUM,CN,"AIF Global Logistics Co., Ltd.",,,,
MEDIUM,CN,Globe Communication (HK) Ltd.,,,,
MEDIUM,CN,"Anhui Cambricon Information Technology Co., Ltd.",,,,
MEDIUM,CN,Comtel Technology Limited,,,,
MEDIUM,CN,724th Research Institute,CSSC,,,
MEDIUM,CN,"Nanjing LES Information Technology Co., Ltd.",,,,
MEDIUM,CN,IS'Vision,,,,
MEDIUM,CN,"Guangzhou Tongguang Communication Technology Co., Ltd.",CETC 7,,,
MEDIUM,CN,"Furuida Heilongjiang Supply Chain Management Co., Ltd.",,,,
MEDIUM,CN,Nanjing Guosheng Electronics,,,,
MEDIUM,CN,SenseNets,,,,
MEDIUM,CN,"Peaceful Vision (Lianyungang) Electronic Co., Ltd.",,,,
MEDIUM,CN,Sur-Link International (HK) Ltd.,,,,
MEDIUM,CN,"CST Source Industrial Co., Ltd.",,,,
MEDIUM,CN,Yogone Electronics Co.,,,,
MEDIUM,CN,Shenzhen Institute of Quantum Science and Engineering,,,,
MEDIUM,CN,"Beijing UniStrong Science & Technology Co., Ltd.",,,,
MEDIUM,CN,"Urumqi Haishi Xin'an Electronic Technology Co., Ltd.",,,,
MEDIUM,CN,Changhe Aircraft Industries Group,,,,
MEDIUM,CN,"Yusha Group Co., Ltd.",,,,
MEDIUM,CN,"HiSilicon Technologies Co., Ltd.",,,,
MEDIUM,CN,Hebei Medicines Health,CETC 13,,,
MEDIUM,CN,Anhui Bowei Ruida Electronics Technology,,,,
MEDIUM,CN,Sun Wing Ltd.,,,,
MEDIUM,CN,"Tianjin 764 Communication and Navigation Technology Co., Ltd.",,,,
MEDIUM,CN,"Yibin Sanjiang Machine Co., Ltd.",,,,
MEDIUM,CN,KingV Ltd.,,,,
MEDIUM,CN,Nanjing FiberHome Starrysky Communication Development Co.,,,,
MEDIUM,CN,China Electronics Technology Group Corporation No. 28 Institute,,,,
MEDIUM,CN,207th Research Institute,CASIC-2A,,,
MEDIUM,CN,Sharon Yang,,,,
MEDIUM,CN,Nanjing Engineering Institute of Aircraft Systems,,,,
MEDIUM,CN,ECU Electronic Industrial,,,,
MEDIUM,CN,Hebei Poshing Electronics,CETC 13,,,
MEDIUM,CN,Bayingolin Mongolian Autonomous Prefecture Public Security Bureau,,,,
MEDIUM,CN,"Xi'an Hengda Microwave Technology Development Co., Ltd.",,,,
MEDIUM,CN,"AVIC Chengdu Aircraft Industrial (GROUP) Co., Ltd.",,,,
MEDIUM,CN,Jiangsu Leidian Technology Company,,,,
MEDIUM,CN,"Moore Thread Intelligent Technology (Chengdu) Co., Ltd.",,,,
MEDIUM,CN,"Huawei Technologies Co., Ltd., Beijing Research Institute",Huawei,,,
MEDIUM,CN,China Electronics Technology Group Corporation 14th Research Institute,,,,
