Risk Rating,Country Code,Institution,Kind,Security credentials,End-user lists,Espionage or misconduct
HIGH,CN,Shandong University,Civilian,Secret,None,None
HIGH,CN,Shanghai Jiao Tong University,Civilian,Secret,None,Yes
HIGH,CN,Shanghai University,Civilian,Secret,None,None
HIGH,CN,Shenyang Aerospace University,Civilian,None,None,None
HIGH,CN,Shenyang Ligong University,Civilian,Secret,None,None
HIGH,CN,Sichuan University,Civilian,Secret,Yes,Yes
HIGH,CN,Southeast University,Civilian,Secret,None,Yes
HIGH,CN,Southern University of Science and Technology,Civilian,None,None,None
HIGH,CN,Southwest University of Science and Technology,Civilian,Secret,None,None
HIGH,CN,Space Engineering University,Military,None,None,Yes
HIGH,CN,Special Police Academy,Military,None,None,None
HIGH,CN,Sun Yat-sen University,Civilian,None,Yes,None
HIGH,CN,Tianjin Polytechnic University,Civilian,Secret,None,None
HIGH,CN,Tianjin University,Civilian,Secret,Yes,Yes
HIGH,CN,Tongji University,Civilian,Secret,Yes,None
HIGH,CN,Tsinghua University,Civilian,Secret,None,Yes
HIGH,CN,University of Electronic Science and Technology of China,Civilian,Secret,Yes,Yes
HIGH,CN,University of Science and Technology Beijing,Civilian,Secret,None,None
HIGH,CN,University of Science and Technology of China,Civilian,None,None,None
HIGH,CN,Wuhan University,Civilian,Secret,None,Yes
HIGH,CN,Xiamen University,Civilian,None,None,Yes
HIGH,CN,Xidian University,Civilian,Secret,None,None
HIGH,CN,Xi’an Jiaotong University,Civilian,Secret,Yes,Yes
HIGH,CN,Xi’an University of Posts and Telecommunications,Civilian,None,None,None
HIGH,CN,Yanshan University,Civilian,Secret,None,None
HIGH,CN,Zhejiang University,Civilian,Secret,None,Yes
HIGH,CN,Zhengzhou University,Civilian,Secret,Yes,None
HIGH,CN,Xi'an Jiaotong University,,,,
HIGH,CN,Capital Medical University,,,,
HIGH,CN,Southern Medical University,,,,
HIGH,CN,West China Hospital of Sichuan University,,,,
HIGH,CN,Nanjing University of Information Science and Technology,,,,
HIGH,CN,Jiangsu University,,,,
HIGH,CN,Zhejiang University of Technology,,,,
HIGH,CN,Hohai University,,,,
HIGH,CN,Nanjing Forestry University,,,,
HIGH,CN,Jiangnan University,,,,
HIGH,CN,Southwest Jiaotong University,,,,
HIGH,CN,Beijing University of Technology,,,,
HIGH,CN,Henan University,,,,
HIGH,CN,Guangxi University,,,,
HIGH,CN,Institute of Physics,CAS,,,
HIGH,CN,Chinese PLA General Hospital,,,,
HIGH,CN,"China University of Petroleum, East China",,,,
HIGH,CN,Institute of Geographic Sciences and Natural Resources Research,Chinese Academy of Sciences,,,
HIGH,CN,Chang'an University,,,,
HIGH,CN,First Affiliated Hospital of Zhengzhou University,,,,
HIGH,CN,Institute of Atmospheric Physics,Chinese Academy of Sciences,,,
HIGH,CN,Taiyuan University of Technology,,,,
HIGH,CN,Shanghai University of Traditional Chinese Medicine,,,,
HIGH,CN,Sichuan Agricultural University,,,,
HIGH,CN,Institute of Automation,Chinese Academy of Sciences,,,
HIGH,CN,Zhejiang Lab,,,,
HIGH,CN,Aerospace Information Research Institute,Chinese Academy of Sciences,,,
HIGH,CN,Changsha University of Science and Technology,,,,
